date;temperaturemin;temperaturemax;precipitation;snowfall;snowdepth;avgwindspeed;fastest2minwinddir;fastest2minwindspeed;fastest5secwinddir;fastest5secwindspeed;fog;fogheavy;mist;rain;fogground;ice;glaze;drizzle;snow;freezingrain;smokehaze;thunder;highwind;hail;blowingsnow;dust;freezingfog
2015-08-21;70.0;88.0;0.0;0.0;0.0;5.59;40;16.11;50;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-08-23;61.0;87.1;0.0;0.0;0.0;1.34;170;8.95;210;23.94;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-09-09;71.1;91.0;0.21;0.0;0.0;6.04;230;25.95;240;31.99;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2015-09-12;68.0;78.1;0.34;0.0;0.0;6.26;260;18.12;270;27.96;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-09-13;55.0;75.9;0.0;0.0;0.0;4.25;310;14.09;280;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-09-17;60.1;84.0;0.0;0.0;0.0;1.57;90;8.95;130;14.99;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-09-20;62.1;86.0;0.0;0.0;0.0;4.7;30;12.97;60;17.0;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-09-24;60.1;75.9;0.2;0.0;0.0;9.17;50;18.12;60;25.95;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-09-27;64.0;77.0;0.03;0.0;0.0;10.96;40;18.12;40;25.95;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2015-10-01;57.9;66.0;0.34;0.0;0.0;10.74;50;19.91;50;25.95;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-10-03;53.1;68.0;1.23;0.0;0.0;12.08;50;19.91;40;29.08;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-10-17;39.0;66.9;0.0;0.0;0.0;3.13;350;12.08;340;17.0;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-10-21;37.9;75.9;0.0;0.0;0.0;1.34;230;10.07;240;12.97;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-10-25;55.9;77.0;0.0;0.0;0.0;3.8;230;12.97;230;16.11;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-11-07;59.0;72.0;0.54;0.0;0.0;5.37;230;17.0;340;23.04;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-11-10;48.0;69.1;0.22;0.0;0.0;1.79;290;10.07;320;14.99;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-11-12;45.0;77.0;0.0;0.0;0.0;7.61;230;23.94;230;31.09;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-11-13;44.1;66.0;0.0;0.0;0.0;5.82;300;16.11;270;23.04;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-11-15;31.1;64.0;0.0;0.0;0.0;0.67;210;6.93;220;8.95;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-11-17;37.9;66.9;0.0;0.0;0.0;4.25;90;14.09;90;18.12;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-11-18;53.1;72.0;0.0;0.0;0.0;9.4;130;19.91;140;25.05;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-11-29;48.9;73.9;0.13;0.0;0.0;2.01;80;12.08;90;14.09;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-12-03;39.0;57.9;0.0;0.0;0.0;4.25;310;12.97;340;23.04;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-12-04;33.1;54.0;0.0;0.0;0.0;2.01;30;10.07;30;14.99;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-12-09;42.1;64.0;0.0;0.0;0.0;4.7;230;16.11;230;21.03;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-12-10;44.1;66.9;0.0;0.0;0.0;3.58;220;12.08;220;14.99;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-12-18;37.0;59.0;0.16;0.0;0.0;6.26;300;16.11;310;29.08;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-12-24;66.0;77.0;0.04;0.0;0.0;12.75;220;23.04;200;29.97;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-12-25;64.9;73.9;0.0;0.0;0.0;8.05;230;17.0;230;21.03;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-12-26;63.0;73.9;0.01;0.0;0.0;2.91;190;8.95;210;12.08;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-01-03;31.1;53.1;0.0;0.0;0.0;3.36;260;10.07;260;14.09;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-01-10;37.0;63.0;0.05;0.0;0.0;11.86;240;25.05;240;36.91;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-01-13;27.1;43.0;0.0;0.0;0.0;3.36;240;12.08;230;18.12;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-01-18;22.1;35.1;0.0;0.0;0.0;4.03;300;14.09;310;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-01-24;28.2;46.9;0.0;0.0;1.18;2.46;320;10.07;310;16.11;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-01-26;35.1;61.0;0.0;0.0;0.0;6.26;230;17.0;230;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-01-30;26.2;55.9;0.0;0.0;0.0;5.37;230;14.99;200;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-02-01;46.9;72.0;0.0;0.0;0.0;9.17;240;21.03;240;25.95;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-02-03;51.1;72.0;1.26;0.0;0.0;10.51;190;23.94;180;36.01;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-02-07;37.0;44.1;0.0;0.0;0.0;6.93;20;14.99;20;23.04;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-02-11;19.2;41.0;0.0;0.0;0.0;5.82;280;16.11;260;23.94;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-02-13;21.2;34.0;0.0;0.0;0.0;6.04;300;17.0;280;25.95;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-02-16;35.1;60.1;1.16;0.0;0.0;8.05;170;27.96;160;38.92;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-02-21;45.0;71.1;0.04;0.0;0.0;8.5;240;23.04;230;29.97;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-02-23;43.0;46.0;0.19;0.0;0.0;6.26;60;12.97;60;17.0;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-02-28;31.1;66.9;0.0;0.0;0.0;8.28;220;21.03;220;27.96;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-03-03;28.2;48.9;0.03;0.0;0.0;6.04;110;14.99;120;21.03;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-03-06;37.0;57.9;0.04;0.0;0.0;3.58;50;17.0;210;25.05;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-03-10;57.0;79.0;0.0;0.0;0.0;14.32;230;25.05;230;31.09;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-03-11;63.0;80.1;0.0;0.0;0.0;8.95;230;23.04;230;29.08;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-03-16;57.0;86.0;0.0;0.0;0.0;5.37;260;17.0;230;23.94;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-03-20;39.9;43.0;0.09;0.0;0.0;6.71;30;12.97;20;19.91;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-03-26;55.0;64.9;0.06;0.0;0.0;6.26;60;16.11;70;19.91;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-03-30;42.1;69.1;0.0;0.0;0.0;6.93;180;16.11;180;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-04-12;55.0;64.0;0.85;0.0;0.0;8.5;210;18.12;210;27.96;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-04-13;45.0;64.0;0.0;0.0;0.0;9.17;50;19.91;50;23.04;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-04-15;39.9;66.9;0.0;0.0;0.0;9.62;70;21.92;60;29.08;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-04-16;35.1;70.0;0.0;0.0;0.0;4.7;40;16.11;80;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-04-23;61.0;77.0;0.0;0.0;0.0;4.92;50;19.91;50;23.94;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-04-24;50.0;73.9;0.0;0.0;0.0;4.25;40;12.97;50;18.12;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-05-07;50.0;75.0;0.0;0.0;0.0;6.26;250;16.11;240;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-05-14;52.0;82.0;0.0;0.0;0.0;5.14;240;21.92;230;27.96;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-05-25;59.0;87.1;0.0;0.0;0.0;3.8;220;16.11;220;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-05-26;64.0;89.1;0.0;0.0;0.0;6.71;230;14.99;230;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-06-09;52.0;82.0;0.0;0.0;0.0;3.36;240;14.09;240;18.12;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-06-13;62.1;84.9;0.0;0.0;0.0;3.13;40;12.97;300;16.11;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-06-24;69.1;88.0;0.1;0.0;0.0;2.01;200;14.99;200;19.91;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-06-26;64.0;84.9;0.0;0.0;0.0;3.8;80;12.08;80;17.0;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-07-13;72.0;93.9;0.0;0.0;0.0;3.13;240;12.08;320;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-07-16;70.0;87.1;1.98;0.0;0.0;6.26;180;14.99;210;17.0;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2016-07-18;72.0;93.0;0.0;0.0;0.0;7.38;240;14.09;230;18.12;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-07-29;75.0;91.9;0.0;0.0;0.0;4.92;20;10.07;30;17.0;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-08-06;73.9;93.0;0.0;0.0;0.0;7.38;230;12.97;250;17.0;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-08-08;73.0;89.1;0.54;0.0;0.0;6.71;270;14.99;290;21.03;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2016-08-21;73.9;93.9;0.0;0.0;0.0;6.26;330;17.0;310;27.07;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2016-08-29;69.1;90.0;0.0;0.0;0.0;5.59;40;12.97;50;17.0;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-08-30;66.9;91.9;0.0;0.0;0.0;4.92;40;14.09;50;18.12;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-09-06;61.0;91.0;0.0;0.0;0.0;4.03;240;12.97;250;16.11;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-09-15;66.0;90.0;0.0;0.0;0.0;7.83;40;17.0;80;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-09-18;71.1;90.0;0.06;0.0;0.0;3.58;100;12.97;150;17.0;Yes;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2016-09-28;66.0;86.0;0.45;0.0;0.0;5.14;240;21.92;240;29.08;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2016-09-29;64.9;79.0;0.32;0.0;0.0;6.49;110;18.12;120;23.04;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2016-10-01;66.0;84.0;0.0;0.0;0.0;3.8;240;17.0;250;23.04;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-10-10;45.0;68.0;0.0;0.0;0.0;5.37;40;16.11;30;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-10-12;48.0;73.0;0.0;0.0;0.0;1.57;20;8.05;30;12.97;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-10-18;60.1;84.0;0.0;0.0;0.0;7.61;230;17.0;250;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-10-20;61.0;86.0;0.0;0.0;0.0;3.8;180;12.08;170;18.12;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-10-23;39.9;70.0;0.0;0.0;0.0;6.71;230;14.99;220;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-10-25;44.1;66.0;0.0;0.0;0.0;2.68;70;14.99;50;19.01;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-10-26;39.0;68.0;0.0;0.0;0.0;1.79;230;10.07;230;12.97;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-11-04;45.0;69.1;0.07;0.0;0.0;7.16;40;18.12;30;29.08;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-11-05;37.9;64.9;0.0;0.0;0.0;2.91;90;14.99;90;19.01;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-11-06;37.0;71.1;0.0;0.0;0.0;1.57;30;10.07;30;12.97;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-11-09;46.9;66.9;0.0;0.0;0.0;5.59;290;17.0;330;27.07;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-11-12;30.2;55.0;0.0;0.0;0.0;7.83;50;19.91;40;25.05;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-11-19;42.1;77.0;0.0;0.0;0.0;9.17;230;23.94;290;38.03;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2016-11-20;31.1;53.1;0.0;0.0;0.0;6.49;280;18.12;280;25.05;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-11-21;27.1;54.0;0.0;0.0;0.0;5.14;300;16.11;290;23.04;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-11-23;28.2;62.1;0.0;0.0;0.0;3.58;230;10.07;230;14.09;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-11-29;57.9;72.0;0.06;0.0;0.0;12.97;200;21.92;160;31.99;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-12-06;43.0;48.9;0.56;0.0;0.0;7.83;60;14.99;330;21.03;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-12-07;37.0;60.1;0.0;0.0;0.0;2.01;20;8.95;30;14.99;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-12-25;48.0;60.1;0.0;0.0;0.0;5.14;90;10.07;110;16.11;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-12-27;52.0;68.0;0.01;0.0;0.0;10.29;240;19.91;230;25.95;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2016-12-31;23.2;50.0;0.0;0.0;0.0;8.72;220;21.03;230;23.94;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-01-06;32.0;43.0;0.25;0.0;0.0;6.04;40;14.09;40;19.01;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No
2017-01-08;15.3;27.1;0.0;0.0;1.18;4.92;300;14.09;300;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-01-10;24.3;48.0;0.0;0.0;1.18;5.14;170;14.99;170;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-01-12;54.0;73.0;0.0;0.0;0.0;12.53;230;27.96;230;35.12;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-01-23;43.0;60.1;0.28;0.0;0.0;9.84;80;25.05;80;31.09;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-01-28;27.1;52.0;0.0;0.0;0.0;9.4;230;21.92;260;27.96;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-01-30;30.2;46.0;0.0;0.0;0.0;6.26;270;21.03;280;29.08;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-02-01;42.1;70.0;0.0;0.0;0.0;3.8;220;10.07;30;14.09;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-02-05;27.1;60.1;0.01;0.0;0.0;4.92;220;16.11;280;23.04;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No
2017-02-15;39.0;55.9;0.34;0.0;0.0;5.37;290;14.99;300;25.05;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-02-19;44.1;73.0;0.0;0.0;0.0;4.7;250;16.11;240;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-02-20;42.1;73.0;0.0;0.0;0.0;1.79;90;12.97;290;23.04;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2017-02-24;46.9;80.1;0.0;0.0;0.0;3.58;230;14.09;170;17.0;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-02-25;52.0;81.0;0.0;0.0;0.0;13.2;230;29.97;240;38.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-02-27;35.1;66.0;0.0;0.0;0.0;5.37;220;14.99;180;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-02-28;50.0;77.0;0.0;0.0;0.0;7.16;220;19.91;210;23.04;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-03-08;46.0;69.1;0.05;0.0;0.0;8.5;220;23.04;210;31.99;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-03-25;52.0;75.9;0.0;0.0;0.0;10.74;240;21.03;240;27.07;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-04-07;43.0;59.0;0.0;0.0;0.0;11.86;290;23.94;260;36.01;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-04-12;55.9;82.9;0.0;0.0;0.0;4.03;210;14.09;220;19.01;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-04-16;60.1;82.0;0.0;0.0;0.0;12.75;250;23.04;240;31.09;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2017-04-22;55.9;87.1;0.09;0.0;0.0;9.4;250;25.95;240;35.12;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-04-23;53.1;55.9;0.77;0.0;0.0;11.18;90;21.03;80;27.07;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-04-24;53.1;60.1;4.51;0.0;0.0;10.96;50;21.03;40;25.05;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-05-04;57.0;80.1;0.29;0.0;0.0;10.74;140;19.91;140;27.96;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-05-14;48.9;81.0;0.0;0.0;0.0;7.16;250;17.0;230;23.94;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-05-22;68.0;80.1;0.3;0.0;0.0;8.05;250;21.92;240;27.96;Yes;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No
2017-05-24;64.9;73.9;0.29;0.0;0.0;5.82;160;16.11;160;21.03;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2017-05-27;61.0;88.0;0.0;0.0;0.0;6.04;220;17.0;220;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-06-17;72.0;86.0;0.21;0.0;0.0;5.82;160;14.99;280;21.03;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2017-06-18;73.9;91.0;0.17;0.0;0.0;8.72;190;17.0;230;40.04;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-06-20;66.9;82.0;0.72;0.0;0.0;4.47;240;12.97;200;18.12;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2017-06-22;71.1;84.0;0.0;0.0;0.0;8.05;240;16.11;260;19.01;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-06-28;57.0;82.9;0.0;0.0;0.0;4.25;80;12.97;30;18.12;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-06-29;60.1;87.1;0.0;0.0;0.0;6.71;190;14.09;190;19.01;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-07-02;71.1;91.9;0.0;0.0;0.0;4.47;230;10.07;200;12.97;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-07-03;70.0;93.0;0.15;0.0;0.0;2.91;190;14.99;170;18.12;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-07-04;71.1;91.9;0.84;0.0;0.0;3.8;40;16.11;40;19.01;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2017-07-09;69.1;88.0;0.0;0.0;0.0;3.36;50;12.97;40;14.09;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-07-11;71.1;95.0;0.0;0.0;0.0;6.93;180;16.11;210;19.01;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-07-14;77.0;97.0;0.0;0.0;0.0;9.4;230;21.03;240;25.95;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2017-07-20;71.1;99.0;0.0;0.0;0.0;3.8;210;10.07;220;12.08;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-07-23;71.1;102.0;0.56;0.0;0.0;8.95;220;25.05;220;31.99;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2017-08-11;73.0;89.1;1.2;0.0;0.0;4.25;260;12.97;290;16.11;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2017-08-12;73.0;91.9;0.48;0.0;0.0;5.37;300;12.08;280;17.0;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-08-17;75.0;93.9;0.24;0.0;0.0;4.92;220;21.03;220;25.05;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-08-29;64.0;71.1;0.22;0.0;0.0;8.5;30;17.0;30;25.05;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-09-03;62.1;82.9;0.0;0.0;0.0;4.25;240;12.97;230;17.0;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-09-07;53.1;75.9;0.0;0.0;0.0;2.91;260;14.09;310;18.12;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-09-09;53.1;75.9;0.0;0.0;0.0;7.38;40;16.11;40;23.04;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
